channel_name,video_id,Date,Time,duration_seconds,views,likes,comments,shorts,title,content_type
RJ Karishma,DPNadf4m05s,12/29/2025,6:39:07 AM,101,"1,327,580.00","43,965.00",414,Yes,tips de rahi hoon free mai 🌸 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,XFOY2JUu0fA,12/3/2025,6:40:20 AM,67,"956,893.00","34,330.00",520,Yes,sudhar jao..bahi bhi time hai😝,Other
RJ Karishma,koAxe5FII3k,11/9/2025,10:55:24 AM,169,"7,802,099.00","242,813.00",503,Yes,kaun kaun choti behen hai?? 😝#rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,evH59COjmxw,11/2/2025,6:59:20 AM,88,"6,968,301.00","273,168.00",911,Yes,just sibling things❤️,POV / Kids & Teens
RJ Karishma,UlOaN6g1ltU,10/31/2025,1:31:05 PM,141,"15,617,950.00","395,064.00",508,Yes,chalo suitcase pack karo sab #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,aKpe5_ZVkJg,10/24/2025,6:23:55 AM,68,"2,955,168.00","130,393.00",801,Yes,i wish “generative edit “ real life logo par bhi use ho pata!,Other
RJ Karishma,LySJVSADxOA,10/9/2025,7:05:19 AM,119,"1,588,143.00","72,932.00",632,Yes,kaha milte hain aise mehmaan🤌🏻,Other
RJ Karishma,7zxT2-sndEc,10/4/2025,7:20:31 AM,91,"3,257,313.00","123,851.00",529,Yes,bas itni si baat hai❤️❤️ #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,sjtVCP_bWXE,9/25/2025,6:38:59 AM,90,"2,111,490.00","88,806.00",493,Yes,kya lagta hai ..kya hoga?? #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,sTEbT5U-iMA,9/18/2025,10:42:27 AM,112,"2,890,548.00","144,349.00",1080,Yes,tumhare sath aisa hota hai?? #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,bCt0gFTqO0I,9/15/2025,8:29:12 AM,133,"9,428,129.00","411,075.00",4213,Yes,ghar de dur #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,jy_Zun9lOwk,9/13/2025,12:16:24 PM,81,"3,251,289.00","132,551.00",371,Yes,dada-dadi ka pyaar #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy, Romance / Relationships"
RJ Karishma,PpUEcqNXZnA,8/24/2025,3:56:39 PM,127,"18,868,297.00","559,165.00",1810,Yes,ajab lehar hai meri padosan 😛 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,YRdvbVM82_E,8/16/2025,9:11:05 AM,132,"30,840,606.00","852,237.00",2890,Yes,tumne kya khooth kaha hai?? #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,OIlNBeY65s4,8/6/2025,5:46:29 AM,91,"11,798,584.00","341,576.00",668,Yes,instructions rukni nahi chahiye #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,SEJe3PV8aEU,7/31/2025,7:29:00 AM,102,"25,436,144.00","743,598.00",3167,Yes,kya kare aisi bhaiyon ka?? #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,dQeHRzyz9cM,7/20/2025,5:42:52 AM,63,"13,371,622.00","368,943.00",839,Yes,i promise nahi rokungi😭 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,md2viXhysqY,7/13/2025,9:08:24 AM,44,"1,658,004.00","38,270.00",175,Yes,mehngai ka alag roop dikhta hai central london mai 😭 #rjkarishma,Character / Micro Comedy
RJ Karishma,2RUlNTcijr0,7/8/2025,9:09:51 AM,141,"10,390,560.00","386,775.00",985,Yes,#ad a day to remember in london #cricket #wimbledon,Brand / Ads / Events
RJ Karishma,NgGP9_x4hU4,6/28/2025,9:09:51 AM,96,"6,369,816.00","316,891.00",2001,Yes,#ad vicky bichara😹 watch @wimbledon on @starsportsindia and @jiohotstar #wimbledon,"Character / Micro Comedy, Brand / Ads / Events"
RJ Karishma,bHJYb_5m6Ig,6/23/2025,9:18:42 AM,82,"2,312,322.00","72,494.00",386,Yes,shadi ke baad ghar aane ki baat he alag hoti hai #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,SSQH_k8aO04,6/20/2025,7:06:46 AM,104,"35,446,339.00","712,229.00",4215,Yes,kya tumhari zindagi bhi pehle aisi he thi #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,3tEAd7wrNFc,6/16/2025,9:00:58 AM,180,"1,997,477.00","56,604.00",881,Yes,kya din the wo bhi😭 #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,ow72LItuBkg,6/15/2025,8:32:22 AM,171,"2,017,004.00","56,431.00",952,Yes,ep 09 :bright भविष्य loading,Character / Micro Comedy
RJ Karishma,DcyiHHhDpO4,6/14/2025,8:56:47 AM,138,"3,541,017.00","97,746.00",475,Yes,ep 08 : bright भविष्य loading. #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,RfsHkmS-rBQ,6/13/2025,8:23:03 AM,147,"1,153,515.00","29,221.00",188,Yes,ep 07 : bright भविष्य loading,Character / Micro Comedy
RJ Karishma,9pzgGTtoPvU,6/12/2025,9:02:37 AM,141,"1,792,883.00","49,415.00",152,Yes,ep 06 : bright भविष्य loading #rjkarishma #shorts..i can’t believe ye sab vicky ke sath ho raha hai.,Character / Micro Comedy
RJ Karishma,YjdSYRtswuU,6/11/2025,6:19:58 AM,143,"1,015,212.00","28,266.00",128,Yes,ep -05 bright भविष्य loading,Character / Micro Comedy
RJ Karishma,34p2pUz0Hqg,6/10/2025,10:00:46 AM,126,"1,241,870.00","35,797.00",225,Yes,ep 04-bright भविष्य loading….lagta hai vicky ki kismet khulne wali hai,Character / Micro Comedy
RJ Karishma,8RkduZwb8TM,6/9/2025,5:37:43 AM,142,"1,103,430.00","33,044.00",177,Yes,ep 03 -bright भविष्य loading,Character / Micro Comedy
