channel_name,video_id,Date,Time ,duration_seconds,views,likes,comments,shorts,title,content_type
That's So Viraj,I7seWk2d3x0,10/17/2025,10:40:00 AM,66,"20,252.00",393.00,3,Yes,wahh! life ho toh aisi! instant gratification is real! @bigbasketofficial,"Brand / Ads / Events / Travel, Pets / Animals"
That's So Viraj,RVALlotjqn0,8/5/2025,5:54:05 PM,35,"34,119.00",695.00,4,Yes,satisfaction pro max!,Daily Life / Relatable Emotions
That's So Viraj,wzuYKIU-Z1A,7/28/2025,6:34:20 AM,60,"1,125,500.00","31,354.00",188,Yes,itna kya topic hota hai yeh log ke paas to talk!!,Quirky Observations / Social Commentary
That's So Viraj,we0CKXWzHV0,6/16/2025,3:28:16 PM,36,"83,566.00","1,608.00",8,Yes,apne bhai behen ko bhejo yeh video!,Other
That's So Viraj,nla6BLdxdlQ,6/13/2025,1:19:01 PM,42,"754,333.00","14,560.00",80,Yes,my wife is very annoying!,Daily Life / Relatable Emotions
That's So Viraj,uawg9YRd8u4,10/28/2024,11:26:27 AM,61,"19,253.00",554.00,6,Yes,that one friend! #ad @googleindia #digikavachscam lage toh #maukaganwao,"POV / Kids & Teens, Brand / Ads / Events / Travel"
That's So Viraj,q9wHWM_xQDQ,1/26/2024,1:11:46 PM,43,"33,771.00","1,044.00",5,Yes,japani dandiya! #comedy #funny #memes #explore #humor #fun #family,"Family / Relatable, Comedy / Funny / Situational Humor"
That's So Viraj,K35ZhPrqFag,1/2/2024,11:27:26 AM,34,"14,627.00",392.00,4,Yes,can’t wait to sulk in 2024,Daily Life / Relatable Emotions
That's So Viraj,vL0rbsuh6UQ,10/24/2023,7:27:44 AM,60,"13,565.00",406.00,3,Yes,fattu nai hu over thinker hu visit choclairs.com to unlock ghost cam #cadburyhalloweenhaunt,"Daily Life / Relatable Emotions, Brand / Ads / Events / Travel"
That's So Viraj,PMgTbQ-MTPI,8/9/2023,4:20:49 PM,2547,"5,249.00",105.00,10,No,"middle class vs the world - podcast - ep 6 : tuitions | ft. govind , jitesh, arjun | viraj ghelani","POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers"
That's So Viraj,8regGBENdrA,7/29/2023,4:33:17 AM,2624,"2,350.00",70.00,15,No,"middle class vs the world - podcast - ep 5 : shopping | ft. pulkit, jitesh, govind | viraj ghelani","POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers"
That's So Viraj,NjyglTbqyis,7/15/2023,8:16:35 AM,3129,"1,675.00",67.00,12,No,"middle class vs the world - podcast - ep 4 : parents | ft. keenan , jitesh, govind | viraj ghelani","POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers"
That's So Viraj,jSrloWbTdFY,7/7/2023,1:43:17 PM,3362,"1,475.00",73.00,5,No,"middle class vs the world - podcast - ep3 : career options | ft. keenan,jitesh,arjun |viraj ghelani","POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers"
That's So Viraj,6KCxCE1bkHo,6/30/2023,11:39:03 AM,3453,"2,198.00",95.00,15,No,"middle class vs the world - podcast - ep 2 : weddings | ft. raunak , jitesh, arjun | viraj ghelani","POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers"
That's So Viraj,JSLqsSdhSsU,6/28/2023,12:27:24 PM,61,"24,943.00","1,210.00",17,Yes,how gujjus talk in leicester,Other
That's So Viraj,_22qDfwp8i4,6/23/2023,12:55:47 PM,2540,"2,808.00",125.00,6,No,"middle class vs the world - podcast - ep 1: dating | ft. govind, jitesh, arjun | viraj ghelani","POV / Kids & Teens, Character / Micro Comedy / Podcast, Romance / Relationships, Collaborations / Guests / Influencers"
That's So Viraj,FLL31aKMWfM,6/13/2023,9:15:42 AM,56,"11,426.00",363.00,4,Yes,london premiere of transformers: rise of the beats is one of the highlights of my london trip!,"Food / Cooking / Eating, Brand / Ads / Events / Travel"
That's So Viraj,sZ9O4PNUfzU,2/11/2023,8:03:56 AM,46,"22,785.00","1,166.00",18,Yes,is this normal behavior?,Daily Life / Relatable Emotions
That's So Viraj,VmB89cRnlYc,8/29/2022,6:30:05 AM,431,"125,184.00","5,533.00",110,No,koffee with kjo - writers room | viraj ghelani,"Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers"
That's So Viraj,Mx3vO2UnG10,5/17/2022,6:18:52 AM,16,"90,765.00","4,637.00",24,Yes,best food for diet!,Food / Cooking / Eating
That's So Viraj,ePnEgPYjXFU,5/8/2022,8:40:23 AM,61,"32,826.00","2,468.00",38,Yes,to all those who keeps honking!,"Character / Micro Comedy / Podcast, Quirky Observations / Social Commentary"
That's So Viraj,_Hhy1xE89Yw,4/10/2022,9:38:01 AM,425,"124,642.00","5,392.00",96,No,almost 72 questions with viral bhayani | parody | that's so viraj,"Comedy / Funny / Situational Humor, Trends / Challenges / Social Media, Collaborations / Guests / Influencers"
That's So Viraj,3OaXqYn_MQM,2/25/2022,3:03:28 PM,459,"56,436.00","4,789.00",63,No,if your old phone were a person | viraj ghelani | ft. khushaal pawaar,Collaborations / Guests / Influencers
That's So Viraj,__dFhV8kO3Q,2/24/2022,8:08:55 AM,61,"66,197.00","4,298.00",51,Yes,gujarati ghar when guest are not coming,Family / Relatable
That's So Viraj,bkzLeIVgidQ,2/11/2022,10:19:12 AM,478,"260,520.00","21,808.00",240,No,family shark tank | viraj ghelani | ft. @focusedindian @saurabhghadgevines sidhant sarfare,"Family / Relatable, Collaborations / Guests / Influencers"
That's So Viraj,jodcXJs-fAk,2/2/2022,8:27:29 AM,732,"34,010.00","2,859.00",55,No,me and my gym buddy,Fitness / Gym / Health
That's So Viraj,niWzKNSqeDo,1/18/2022,12:52:08 PM,34,"50,711.00","2,836.00",21,Yes,gujarati families mostly!,Family / Relatable
That's So Viraj,plhXOQeUBC0,1/17/2022,4:43:12 PM,27,"38,684.00","1,908.00",6,Yes,i am that player always! #youtubeshorts #youtubepartner,"POV / Kids & Teens, Character / Micro Comedy / Podcast, Trends / Challenges / Social Media, Games / Challenges / Competitions"
That's So Viraj,cTdUcZu3ySs,1/10/2022,6:30:09 AM,621,"58,152.00","5,435.00",110,No,life of a genz creator.,"Daily Life / Relatable Emotions, Food / Cooking / Eating"
That's So Viraj,7m7u_V3KCT0,12/31/2021,7:19:21 AM,59,"63,839.00","4,040.00",36,Yes,santa shocked gujarati rocked #youtubeshorts #youtubepartner,"Family / Relatable, Character / Micro Comedy / Podcast, Comedy / Funny / Situational Humor, Trends / Challenges / Social Media"
That's So Viraj,74Owx6WHlYk,12/29/2021,7:01:01 AM,21,"56,478.00","2,599.00",17,Yes,isko gadi nai! 1 bhk bolte hai!#shorts #youtubeshorts #youtubepartner,"Character / Micro Comedy / Podcast, Trends / Challenges / Social Media"
That's So Viraj,tjMJMysxW9g,12/10/2021,7:00:12 AM,615,"54,214.00","4,439.00",101,No,a day in a life of motivational speaker!,Daily Life / Relatable Emotions
That's So Viraj,R1S1A4jOGnQ,11/24/2021,9:15:36 AM,611,"162,729.00","10,823.00",152,No,fancy restaurants are the worst! | viraj ghelani,"Food / Cooking / Eating, Collaborations / Guests / Influencers"
That's So Viraj,PlrxoKQ_VCk,11/10/2021,8:48:25 AM,12,"148,977.00","7,104.00",112,Yes,how people used to call friends before mobile phones! #shorts #youtubeshorts,"POV / Kids & Teens, Trends / Challenges / Social Media"
That's So Viraj,oAIqDm4wPlA,11/8/2021,12:08:53 PM,16,"86,543.00","3,445.00",36,Yes,when you can't handle ac! #shorts #sheeranshorts #youtubeshorts #shorts,Trends / Challenges / Social Media
That's So Viraj,pDPNj7pOg3k,11/5/2021,11:54:05 AM,16,"83,350.00","3,448.00",37,Yes,kajukatli and soanpapdi inside my stomach right now after diwali #jugnuchallenge #youtubeshorts,Trends / Challenges / Social Media
That's So Viraj,G2fTyhYfq54,11/4/2021,6:01:31 AM,61,"872,983.00","33,717.00",485,Yes,if ncb raids a gujarati house,Family / Relatable
That's So Viraj,KglECA9Y6HE,10/23/2021,6:12:37 AM,59,"307,970.00","19,762.00",186,Yes,india vs pakistan ke wakht sab chalta hai!,Other
That's So Viraj,KSvmqA_FDSI,10/5/2021,3:34:03 AM,7,"70,152.00","3,816.00",28,Yes,clumsy af #shorts,Daily Life / Relatable Emotions
That's So Viraj,B0JNsdSl9Jk,10/4/2021,10:08:04 AM,61,"44,821.00","2,897.00",30,Yes,can i buy you a drink #shorts,Other
That's So Viraj,ufp5wxJKP9E,9/25/2021,7:08:46 AM,879,"23,204.00","1,651.00",70,No,loser cleans the entire house | vlog | viraj ghelani,"Daily Life / Relatable Emotions, Collaborations / Guests / Influencers, Games / Challenges / Competitions"
That's So Viraj,Rv9b6Qv9w3w,8/22/2021,3:12:36 PM,588,"83,576.00","8,734.00",331,No,what i do every rakshabandhan! ft. my sisters doors,Family / Relatable
That's So Viraj,wrsJgXyP300,8/11/2021,9:30:49 AM,411,"71,824.00","6,557.00",242,No,friendship with your bff: then vs now | viraj ghelani,"POV / Kids & Teens, Collaborations / Guests / Influencers"
That's So Viraj,ZooowSiVBIc,8/2/2021,3:16:10 PM,14,"71,147.00","3,824.00",23,Yes,harami dost!,Other
That's So Viraj,DZStD_dPaQM,7/29/2021,7:47:45 AM,329,"169,057.00","13,570.00",194,No,honest gym | viraj ghelani,"Comedy / Funny / Situational Humor, Fitness / Gym / Health, Collaborations / Guests / Influencers"
That's So Viraj,-DFPI1l-TY8,7/24/2021,7:22:38 AM,258,"1,109,946.00","13,138.00",293,No,a day in the life of a middle class blogger | viraj ghelani,"POV / Kids & Teens, Daily Life / Relatable Emotions, Collaborations / Guests / Influencers"
That's So Viraj,U63n7oyWxBs,7/12/2021,8:58:02 AM,479,"234,266.00","18,299.00",784,No,when guests come over ft- @focusedindian,Collaborations / Guests / Influencers
That's So Viraj,GwZ76uK5nLk,6/9/2021,11:04:58 AM,112,"69,600.00","7,786.00",258,Yes,smelly cat gujarati version. ft. nani and @ritikm,"Family / Relatable, Pets / Animals"
That's So Viraj,IpOKOgmb1tI,4/12/2021,5:09:41 PM,30,"94,521.00","8,391.00",337,Yes,happy lockdown birthday april borns!,Other
That's So Viraj,ycd-kuYaEjk,3/27/2021,3:41:22 AM,29,"160,637.00","10,229.00",589,Yes,"to all those jinka birthday april, may mein aata hai!",Other
That's So Viraj,FXhvg1i8Gwk,3/24/2021,7:46:39 AM,22,"507,401.00","23,687.00",189,Yes,original badminton rules #shorts,Other
That's So Viraj,pQDTWbJhjdA,3/13/2021,10:19:49 AM,23,"72,975.00","4,224.00",118,Yes,how to talk to short people #shorts #youtubeshorts ft- om bhat,Trends / Challenges / Social Media
