upload_hr,content_type,COUNTA of video_id,SUM of views,SUM of likes
6,Brand / Ads / Events / Travel,1,"115,503.00","7,427.00"
,"Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers",1,"125,184.00","5,533.00"
,Cultural / Life Observations,1,"307,970.00","19,762.00"
,"Daily Life / Relatable Emotions, Food / Cooking / Eating",1,"58,152.00","5,435.00"
,Family / Relatable,1,"872,983.00","33,717.00"
,"Family / Relatable, Collaborations / Guests / Influencers",1,"367,445.00","31,864.00"
,Food / Cooking / Eating,1,"90,765.00","4,637.00"
,"POV / Kids & Teens, Trends / Challenges / Social Media, Collaborations / Guests / Influencers, Quirky Observations / Social Commentary, Unboxing / Product Reviews",1,"115,402.00","12,533.00"
,Quirky Observations / Social Commentary,1,"1,125,500.00","31,354.00"
,"Trends / Challenges / Social Media, Cultural / Life Observations",1,"149,270.00","11,462.00"
6 Total,,10,"3,328,174.00","163,724.00"
8,"Character / Micro Comedy / Podcast, Quirky Observations / Social Commentary",1,"32,826.00","2,468.00"
,Collaborations / Guests / Influencers,1,"234,266.00","18,299.00"
,"Daily Life / Relatable Emotions, Cultural / Life Observations",1,"22,785.00","1,166.00"
,Family / Relatable,1,"66,197.00","4,298.00"
,"Family / Relatable, Brand / Ads / Events / Travel, Collaborations / Guests / Influencers",1,"486,780.00","29,256.00"
,"Family / Relatable, POV / Kids & Teens, Collaborations / Guests / Influencers, Cultural / Life Observations",1,"600,589.00","40,359.00"
,Fitness / Gym / Health,1,"34,010.00","2,859.00"
,"POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers, Cultural / Life Observations",1,"1,675.00",67.00
,"POV / Kids & Teens, Comedy / Funny / Situational Humor, Collaborations / Guests / Influencers",1,"130,440.00","13,669.00"
,"POV / Kids & Teens, Trends / Challenges / Social Media",1,"148,977.00","7,104.00"
8 Total,,10,"1,758,545.00","119,545.00"
9,"Comedy / Funny / Situational Humor, Trends / Challenges / Social Media, Collaborations / Guests / Influencers",1,"124,642.00","5,392.00"
,"Family / Relatable, Collaborations / Guests / Influencers",1,"550,155.00","66,850.00"
,"Food / Cooking / Eating, Brand / Ads / Events / Travel, Travel / Adventure",1,"11,426.00",363.00
,"Food / Cooking / Eating, Collaborations / Guests / Influencers",1,"162,729.00","10,823.00"
,"POV / Kids & Teens, Collaborations / Guests / Influencers",2,"255,730.00","23,348.00"
9 Total,,6,"1,104,682.00","106,776.00"
7,"Character / Micro Comedy / Podcast, Trends / Challenges / Social Media",1,"56,478.00","2,599.00"
,Collaborations / Guests / Influencers,1,"251,951.00","20,656.00"
,"Comedy / Funny / Situational Humor, Fitness / Gym / Health, Collaborations / Guests / Influencers",1,"169,057.00","13,570.00"
,Daily Life / Relatable Emotions,1,"54,214.00","4,439.00"
,"Daily Life / Relatable Emotions, Brand / Ads / Events / Travel",1,"13,565.00",406.00
,"Daily Life / Relatable Emotions, Collaborations / Guests / Influencers, Games / Challenges / Competitions, Cultural / Life Observations",1,"23,204.00","1,651.00"
